case_type,procedure
theft,"1. File an FIR: Visit the nearest police station or file online and obtain a copy of the FIR.\n2. Police Investigation: The police will investigate the crime by gathering evidence and questioning witnesses.\n3. Arrest of Suspects: If suspects are found, they may be arrested, and stolen items could be recovered.\n4. Court Proceedings: The case goes to court, where evidence is presented and witnesses testify.\n5. Legal Representation: Hire a lawyer to represent you during court proceedings.\n6. Final Judgment: The court will deliver a judgment based on the evidence presented.\n7. Go to Homepage: Visit the homepage and click on 'File a Case.'\n8. Provide Details: Fill in your details and information about the theft.\n9. Upload Documents: Upload any relevant documents, if required.\n10. Submit: Review and submit the case, then receive a reference number for tracking.\n11. Receive Updates: Track updates on your case through notifications or the portal."
assault,"1. File an FIR: Visit the nearest police station or file online and obtain a copy of the FIR.\n2. Medical Examination: Get a medical check-up done for any physical injuries sustained during the assault.\n3. Police Investigation: The police will collect evidence and record witness statements.\n4. Arrest of Accused: If enough evidence is gathered, the police will arrest the accused.\n5. Court Proceedings: The case will be presented in court with evidence and witness testimonies.\n6. Legal Representation: Hire a lawyer to represent you during the court trial.\n7. Compensation Claim: File for compensation if applicable under the law.\n8. Final Judgment: The court will deliver a verdict based on the evidence and legal arguments.\n9. Go to Homepage: Visit the homepage and click on 'File a Case.'\n10. Provide Details: Fill in your details and information about the assault.\n11. Upload Documents: Upload any medical reports or relevant documents.\n12. Submit: Review and submit the case, then receive a reference number for tracking.\n13. Receive Updates: Track updates on your case through notifications or the portal."
drug offense,"1. Report the Incident: Notify law enforcement about the drug offense you witnessed.\n2. Evidence Collection: Gather any evidence related to the offense, including photos, videos, or witness statements.\n3. File an FIR: Visit the nearest police station to file an FIR regarding the drug offense.\n4. Police Investigation: The police will investigate the matter, which may include surveillance and raids.\n5. Arrest of Suspects: If evidence is sufficient, law enforcement will arrest the individuals involved.\n6. Forensic Testing: Any seized substances will undergo forensic analysis to confirm their nature and legality.\n7. Court Proceedings: The case will be presented in court with evidence and testimonies.\n8. Legal Representation: Obtain a lawyer to assist you through the legal process.\n9. Sentencing: If the accused is found guilty, they will face sentencing as per law.\n10. Victim Protection: If applicable, request victim protection measures if you fear retaliation.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report the drug offense.\n13. Provide Details: Fill in all necessary details about the offense.\n14. Upload Evidence: Attach any evidence or documents related to the case.\n15. Submit: Review the information and submit your case for further action."
fraud,"1. Report the Fraud: Immediately report the fraudulent activity to the police or relevant authority.\n2. Gather Evidence: Collect all evidence related to the fraud, such as documents, emails, and transaction records.\n3. Contact Your Bank: Inform your bank or financial institution about the fraud to secure your accounts.\n4. File a Complaint: File a formal complaint with the police regarding the fraudulent activity.\n5. Provide Statements: Give statements to the authorities regarding the details of the fraud.\n6. Investigation: The police will conduct an investigation based on the information you provide.\n7. Legal Advice: Seek legal advice to understand your rights and the next steps.\n8. Monitor Accounts: Keep an eye on your accounts for any further unauthorized transactions.\n9. Notify Credit Bureaus: Inform credit bureaus to monitor your credit report for signs of identity theft.\n10. Follow-Up: Stay in touch with law enforcement for updates on the investigation.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report the fraud.\n13. Provide Details: Fill in all necessary details about the fraudulent activity.\n14. Upload Evidence: Attach any evidence or documents related to the case.\n15. Submit: Review the information and submit your case for further action."
cybercrime,"1. Identify the Crime: Determine the nature of the cybercrime (e.g., hacking, identity theft).\n2. Gather Evidence: Collect all relevant information, including screenshots, emails, and any logs.\n3. Report to Authorities: Notify the local cybercrime unit or law enforcement about the incident.\n4. File an FIR: File a First Information Report (FIR) at your local police station.\n5. Cyber Forensics: Authorities will analyze the evidence to trace the crime and the perpetrators.\n6. Monitor Accounts: Keep an eye on your financial accounts for any unauthorized transactions.\n7. Secure Systems: Update passwords and secure your devices to prevent further incidents.\n8. Legal Assistance: Seek legal advice to understand your rights and potential actions.\n9. Follow-Up: Stay in contact with the authorities for updates on your case.\n10. Public Awareness: Inform others to prevent similar incidents and report suspicious activities.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report the cybercrime.\n13. Provide Details: Fill in all necessary details about the incident.\n14. Upload Evidence: Attach any evidence or documents related to the case.\n15. Submit: Review the information and submit your case for further action."
vehicle theft,"1. Report the Theft: Immediately notify local law enforcement about the vehicle theft.\n2. Provide Details: Give detailed information about the vehicle, including make, model, color, and license plate number.\n3. File a Police Report: Complete a police report to formally document the theft.\n4. Gather Evidence: Collect any evidence, such as surveillance footage or witness statements.\n5. Notify Insurance: Contact your insurance company to report the theft and initiate a claim.\n6. Investigate: Police will investigate the theft, which may include searching for the vehicle.\n7. Check Local Listings: Regularly check local listings and online marketplaces for your stolen vehicle.\n8. Recovery Process: If recovered, follow the police instructions to retrieve your vehicle.\n9. Victim Support: Seek victim support services if you require assistance during this process.\n10. Path to Homepage: Click here to go back to the homepage.\n11. File a Case: Click on 'File a Case' to report the vehicle theft.\n12. Provide Details: Fill in all necessary details about the theft.\n13. Upload Evidence: Attach any evidence or documents related to the case.\n14. Submit: Review the information and submit your case for further action."
animal attack,"1. Ensure Safety: Move to a safe location to avoid further injury from the animal.\n2. Seek Medical Attention: Get immediate medical help for any injuries sustained during the attack.\n3. Identify the Animal: Try to identify the animal and its owner, if possible.\n4. Report the Incident: Notify local authorities or animal control about the attack.\n5. Provide Details: Give detailed information about the incident, including time, location, and circumstances.\n6. Gather Evidence: Collect any evidence, such as photographs of injuries and the animal.\n7. File a Police Report: Visit the nearest police station to file a report regarding the attack.\n8. Follow-Up: Stay in contact with law enforcement for updates on the case.\n9. Legal Consultation: Consult with a lawyer regarding any potential claims for damages.\n10. File a Complaint: Consider filing a formal complaint against the animal's owner if negligence is involved.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report the animal attack.\n13. Provide Details: Fill in all necessary details about the incident.\n14. Upload Evidence: Attach any evidence or documents related to the case.\n15. Submit: Review the information and submit your case for further action."
arson,"1. Report the Incident: Immediately notify local law enforcement about the arson.\n2. Evacuate Area: Ensure everyone in the vicinity is evacuated to a safe location.\n3. Gather Evidence: Document the scene with photos and videos if it's safe to do so.\n4. Fire Department Notification: Ensure the fire department is alerted and on the scene to control the fire.\n5. File an FIR: Visit the nearest police station to file an FIR regarding the arson incident.\n6. Witness Statements: Collect statements from witnesses who may have seen the incident.\n7. Investigation: The police and fire department will conduct an investigation to determine the cause of the fire.\n8. Forensic Analysis: Any evidence collected will undergo forensic analysis to identify accelerants or other materials.\n9. Arrest of Suspects: If suspects are identified, law enforcement will make arrests based on the investigation's findings.\n10. Legal Representation: Seek legal advice to understand your rights and options.\n11. Court Proceedings: The case will proceed to court, where evidence will be presented.\n12. Victim Support: Access resources for victims of arson, including counseling and support services.\n13. Path to Homepage: Click here to go back to the homepage.\n14. File a Case: Click on 'File a Case' to report the arson incident.\n15. Provide Details: Fill in"
defamation,"1. Gather Evidence: Collect all evidence of the defamatory statements, including screenshots and witness statements.\n2. Identify the Defamer: Determine the individual or entity responsible for the defamation.\n3. Legal Consultation: Consult with a lawyer specializing in defamation cases for advice.\n4. Send a Cease and Desist: Your lawyer may send a cease and desist letter to the defamer, demanding they stop the defamatory actions.\n5. File a Complaint: If the issue persists, file a formal complaint with the relevant authorities.\n6. Initiate Legal Proceedings: Your lawyer can help you file a defamation lawsuit in court.\n7. Discovery Process: Engage in the discovery process to gather more evidence from both parties.\n8. Mediation: Consider mediation as a way to resolve the dispute without going to trial.\n9. Court Hearing: If mediation fails, the case will proceed to a court hearing for a verdict.\n10. Damages: If successful, you may be awarded damages for the harm caused.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report the defamation.\n13. Provide Details: Fill in all necessary details about the defamation.\n14. Upload Evidence: Attach any evidence or documents related to the case.\n15. Submit: Review the information and submit your case for further action."
riot,"1. Assess Safety: Ensure your safety before approaching the scene of the riot.\n2. Report the Incident: Notify law enforcement about the ongoing riot immediately.\n3. Gather Evidence: If safe, document the event with photos or videos as evidence.\n4. Evacuate Area: Leave the vicinity of the riot to avoid injury.\n5. File an FIR: Visit the nearest police station to file an FIR regarding the riot.\n6. Witness Statements: Provide any witness statements or evidence you have collected to the police.\n7. Police Investigation: Law enforcement will investigate the causes and participants of the riot.\n8. Crowd Control: Authorities will implement crowd control measures to restore order.\n9. Arrest of Participants: Individuals involved in the riot may be arrested based on evidence.\n10. Legal Proceedings: The case will be handled in court, with evidence presented.\n11. Legal Representation: Seek legal counsel if you have been affected or accused.\n12. Path to Homepage: Click here to go back to the homepage.\n13. File a Case: Click on 'File a Case' to report the riot.\n14. Provide Details: Fill in all necessary details about the riot incident.\n15. Upload Evidence: Attach any evidence or documents related to the case.\n16. Submit: Review the information and submit your case for further action."
